Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.4754,2017-12-02 10:03:05+00:00,0.226,0.774,0.0,"Analysis: Mueller investigation ""should make you very nervous"" if you have something to hide https://t.co/Rkg2ecm47z https://t.co/yfYQF5rO7g",38,@CBSNews
-0.3612,2017-12-02 09:48:05+00:00,0.172,0.828,0.0,"NBC News chief says network is investigating Matt Lauer's ""appalling behavior"" https://t.co/0HEdPJvndr https://t.co/27DHufbbYi",39,@CBSNews
0.0,2017-12-02 09:33:04+00:00,0.0,1.0,0.0,"Mike Flynn says he takes ""full responsibility"" for his actions https://t.co/PCbqQMTwF7 https://t.co/j7aldVzMAp",40,@CBSNews
-0.4588,2017-12-02 09:18:08+00:00,0.286,0.714,0.0,"Navy commander sentenced for role in ""Fat Leonard"" bribery scandal https://t.co/c5rLemxhoV https://t.co/90IiGDy0cX",41,@CBSNews
-0.5859,2017-12-02 09:03:04+00:00,0.304,0.696,0.0,"Remains of missing Army vet, dog found in shallow grave, police say https://t.co/801jVc1q2B",42,@CBSNews
0.0,2017-12-02 08:48:06+00:00,0.0,1.0,0.0,"White nationalist group set up memorial to Kate Steinle, slain in 2015 San Francisco pier shooting… https://t.co/BYhg0dlP2K",43,@CBSNews
0.0,2017-12-02 08:33:05+00:00,0.0,1.0,0.0,Senate passes Republican tax bill https://t.co/IZhG6dyvWe https://t.co/otMQf3AGRI,44,@CBSNews
-0.4019,2017-12-02 08:23:11+00:00,0.231,0.769,0.0,Could early balding signal heart trouble in men? https://t.co/OedoPn19t7 https://t.co/LnX6LdRkRo,45,@CBSNews
0.4939,2017-12-02 08:03:05+00:00,0.0,0.789,0.211,Bitcoin exchange Coinbase ordered to hand over customer data to IRS https://t.co/LPpaLH93uW https://t.co/8NpwVRcV1S,46,@CBSNews
-0.8271,2017-12-02 07:48:05+00:00,0.412,0.588,0.0,"Man threatened to kill U.S. congressman over net neutrality, officials say https://t.co/NMbaFGfmvu https://t.co/0LB6rU444E",47,@CBSNews
0.1531,2017-12-02 07:33:05+00:00,0.0,0.862,0.138,"Pope Francis says ""Rohingya"" in emotional encounter with refugees https://t.co/AGmmh7mSZI https://t.co/TlCPh48Q2V",48,@CBSNews
0.3612,2017-12-02 07:18:06+00:00,0.0,0.828,0.172,Comedy legend Carol Burnett looks back on her groundbreaking variety show https://t.co/gfljCPyVhi https://t.co/rEM7BGGKf2,49,@CBSNews
-0.5423,2017-12-02 07:03:05+00:00,0.226,0.774,0.0,Barnes &amp; Noble's sales hit by the curse of Harry Potter https://t.co/uAMNjeEolk https://t.co/gUqv8M5gtG,50,@CBSNews
0.5859,2017-12-02 06:58:04+00:00,0.0,0.725,0.275,Senate passes GOP tax bill in a much-needed legislative win https://t.co/XOZbyJpcKX https://t.co/a1s9nsYPZ8,51,@CBSNews
-0.802,2017-12-02 06:48:06+00:00,0.324,0.676,0.0,Law enforcement's response to a violent white nationalist rally in Charlottesville last summer failed on multiple f… https://t.co/DeCywQlQBe,52,@CBSNews
-0.6369,2017-12-02 06:33:05+00:00,0.342,0.658,0.0,NCAA slaps Ole Miss football program with two-year bowl ban https://t.co/7YeQdq8iGw https://t.co/7QoaiQ0vLg,53,@CBSNews
-0.5423,2017-12-02 06:18:06+00:00,0.189,0.811,0.0,"Rep. Blake Farenthold's $84,000 sexual harassment settlement was paid using taxpayer funds, CBS News confirms… https://t.co/u8gxuYewii",54,@CBSNews
0.0,2017-12-02 06:16:10+00:00,0.0,1.0,0.0,White nationalist group set up memorial to Kate Steinle https://t.co/bYVojLQ77W https://t.co/0iiuTOGOQy,55,@CBSNews
0.0,2017-12-02 06:03:06+00:00,0.0,1.0,0.0,How 5 different households would fare under the Senate tax bill https://t.co/egKqbKbCVk https://t.co/IVHcL74QOr,56,@CBSNews
-0.7351,2017-12-02 05:48:05+00:00,0.323,0.677,0.0,Hunter charged with manslaughter after killing woman he claims he mistook for a deer https://t.co/gCjrVCba2A https://t.co/vGU0FOVs9A,57,@CBSNews
0.0,2017-12-02 05:33:05+00:00,0.0,1.0,0.0,"Indicted ex-Baltimore cop set up slain officer to find drugs in 2010, officials say https://t.co/4iKGwjokbZ https://t.co/QpF9NI7RxH",58,@CBSNews
-0.0772,2017-12-02 05:18:07+00:00,0.08,0.92,0.0,Geraldo Rivera is apologizing for a memoir published a quarter-century ago that recounts sexual experiences; he apo… https://t.co/cNMCW5sT1x,59,@CBSNews
0.5719,2017-12-02 05:03:07+00:00,0.0,0.802,0.198,"McDonald's manager who tipped cops off in Tampa slayings case to receive $110,000 reward https://t.co/314CoynPxL https://t.co/Qa8hY3LAyd",60,@CBSNews
-0.5859,2017-12-02 04:56:03+00:00,0.304,0.696,0.0,"Remains of missing Army vet, dog found in shallow grave, police say https://t.co/HdFhPeQOiH",61,@CBSNews
0.0,2017-12-02 04:48:05+00:00,0.0,1.0,0.0,"Man trying to imitate TV show sparks massive inferno in upstate New York, local mayor says https://t.co/T6EXUVuNII https://t.co/hYXEaRLwoh",62,@CBSNews
0.0,2017-12-02 04:33:04+00:00,0.0,1.0,0.0,"Mattress startup Casper sued for ""wiretapping"" website visitors https://t.co/UZjPQAuXxQ https://t.co/9hJDaDeSzc",63,@CBSNews
-0.296,2017-12-02 04:18:05+00:00,0.115,0.885,0.0,"Missing Florida teenager, who police said was traveling north with a 27-year-old high school soccer coach, has been… https://t.co/bbzYoXb3ck",64,@CBSNews
-0.34,2017-12-02 04:03:05+00:00,0.13,0.87,0.0,Federal authorities release arrest warrant for Jose Ines Garcia Zarate after San Francisco pier shooting verdict… https://t.co/uOWLSH3pDw,65,@CBSNews
-0.296,2017-12-02 03:58:06+00:00,0.18,0.82,0.0,"Suspect shot by police at Calif. hospital, authorities say https://t.co/hkq3CC9gko https://t.co/B23dc2XmyO",66,@CBSNews
0.6124,2017-12-02 03:40:01+00:00,0.0,0.762,0.238,".@60Minutes, America's number one news program, celebrates its record 50th season in primetime with an hour-long co… https://t.co/xbYexSwCTO",67,@CBSNews
0.0,2017-12-02 03:20:01+00:00,0.0,1.0,0.0,Tesla has built the world's largest battery in less than 100 days https://t.co/4l2fDzLSgw https://t.co/2ThCbC4vL7,68,@CBSNews
-0.4588,2017-12-02 03:00:24+00:00,0.286,0.714,0.0,"Navy commander sentenced for role in ""Fat Leonard"" bribery scandal https://t.co/ZhrwaHeZHs https://t.co/FOsKf1v2ss",69,@CBSNews
0.4678,2017-12-02 03:00:01+00:00,0.0,0.845,0.155,"Comedy legend Carol Burnett is one of the funniest people ever to be on TV, but she tells @MoRocca that there is on… https://t.co/lFP3AfrHIE",70,@CBSNews
-0.3384,2017-12-02 02:40:01+00:00,0.138,0.862,0.0,"Analysis: Robert Mueller's investigation ""should make you very nervous"" if you have something to hide,… https://t.co/T7TpUuehhP",71,@CBSNews
-0.2732,2017-12-02 02:20:01+00:00,0.198,0.66,0.142,"United Nations war crimes tribunal orders independent review of ""internal operations"" after ex-general's death… https://t.co/vjEbqBSG7b",72,@CBSNews
-0.1531,2017-12-02 02:00:02+00:00,0.147,0.734,0.119,"Seeing potential in a Minnesota woman addicted to heroin, a drug treatment court judge helps turn her life around… https://t.co/PNJSez9Dk8",73,@CBSNews
-0.7351,2017-12-02 01:40:03+00:00,0.267,0.733,0.0,"In an effort to prepare tourists and residents for a possible nuclear attack from North Korea, Hawaii attack sirens… https://t.co/hKQSWGBJsC",74,@CBSNews
-0.5106,2017-12-02 01:25:27+00:00,0.163,0.837,0.0,"Senate Democrats express outrage after Republicans unveil the 479-page text of their tax overhaul, with notes scrib… https://t.co/z1ZZVBTbOq",75,@CBSNews
-0.1531,2017-12-02 01:20:02+00:00,0.082,0.918,0.0,American Airlines says it believes it has covered all the flights that were potentially affected by a computer glit… https://t.co/uwlJolvwRr,76,@CBSNews
-0.296,2017-12-02 01:00:02+00:00,0.104,0.896,0.0,"DCCC chairman calls for Rep. Ruben Kihuen, accused in report of propositioning former staffer for dates and sex, to… https://t.co/4m9BHfcoqI",77,@CBSNews
0.2263,2017-12-02 00:40:02+00:00,0.119,0.638,0.243,Former National Security Agency employee pleaded guilty Friday to keeping top secret U.S. defense material at his h… https://t.co/mMIUh5skqF,78,@CBSNews
0.5267,2017-12-02 00:20:01+00:00,0.0,0.833,0.167,"Called an ""encouraging sign"" by officials, a new government report finds HIV is being diagnosed sooner after infect… https://t.co/uSgiRDpz2m",79,@CBSNews
-0.4471,2017-12-02 00:12:29+00:00,0.188,0.812,0.0,CBS News has confirmed U.S. law enforcement officials have long suspected Michael Flynn did not engage the Russian… https://t.co/PbiBYKa2DF,80,@CBSNews
-0.296,2017-12-02 00:06:00+00:00,0.087,0.913,0.0,"RT @CBSEveningNews: A judge in Minnesota refused to judge a book by its cover and instead, judged by what he saw inside

Steve Hartman is @…",81,@CBSNews
0.4749,2017-12-02 00:03:05+00:00,0.087,0.699,0.214,".@AnthonyMasonCBS: ""I thank you for your support over the past six months. Temp work is rarely such a privilege. Th… https://t.co/6Zp86jY0cO",82,@CBSNews
0.0,2017-12-02 00:02:08+00:00,0.0,1.0,0.0,"""Next week, we start a new chapter in the nearly 70-year history of this broadcast when my colleague Jeff Glor take… https://t.co/aMDbtO5OAT",83,@CBSNews
0.4588,2017-12-02 00:00:39+00:00,0.0,0.8,0.2,"Dogs are smarter than cats — at least, that's what a new study suggests. https://t.co/myZmQYxF0Z",84,@CBSNews
-0.296,2017-12-01 23:48:05+00:00,0.104,0.896,0.0,"""It's no coincidence that Prince Harry and Meghan Markle chose World AIDS Day to make their first public appearance… https://t.co/v4Zmbf4AJZ",85,@CBSNews
-0.1779,2017-12-01 23:46:17+00:00,0.138,0.753,0.109,"""The report said [Charlottesville] officers failed to stand up to protect human life because some were told to stay… https://t.co/zS6ZSLidSA",86,@CBSNews
-0.6124,2017-12-01 23:45:32+00:00,0.281,0.614,0.105,".@krisvancleave: ""Tempers flared today, months after the violence played out on the streets of Charlottesville. An… https://t.co/5QJVKjE2HN",87,@CBSNews
0.0,2017-12-01 23:43:48+00:00,0.0,1.0,0.0,".@nancycordes reporting on GOP tax bill: ""It's estimated a family of four earning $75,000 a year would initially ge… https://t.co/BOW3QzBSio",88,@CBSNews
0.0,2017-12-01 23:42:29+00:00,0.0,1.0,0.0,RT @CBSEveningNews: Senate Republicans have spent the day writing and re-writing the massive tax bill. When the vote will happen--and all t…,89,@CBSNews
0.3182,2017-12-01 23:41:04+00:00,0.0,0.892,0.108,".@PaulaReidCBS: ""This ability that Robert Mueller has to keep his cards really close to the vest, that should reall… https://t.co/vhC9jDoUW9",90,@CBSNews
0.0,2017-12-01 23:38:39+00:00,0.0,1.0,0.0,".@MajorCBS: ""In the context of so many transition and White House denials about dealings with Russia, today's court… https://t.co/F5IqYX9ktC",91,@CBSNews
0.0,2017-12-01 23:35:19+00:00,0.0,1.0,0.0,"CBS News has learned Flynn was directed to make the first call by President Trump's son-in-law, Jared Kushner, desc… https://t.co/DxjlB3Gn2k",92,@CBSNews
-0.4215,2017-12-01 23:33:59+00:00,0.128,0.872,0.0,"""Michael Flynn arrived at the courthouse this morning to plead guilty to making false statements to the F.B.I. Once… https://t.co/Eg3Kzhzu0S",93,@CBSNews
0.4404,2017-12-01 23:31:00+00:00,0.0,0.884,0.116,"RT @CBSEveningNews: We’re on the air in the East. @AnthonyMasonCBS is live from Studio 57 in NYC. 
Thanks for being with us #RealReporting…",94,@CBSNews
-0.7579,2017-12-01 23:25:01+00:00,0.289,0.711,0.0,"Thieves steal ""tens of thousands of dollars"" in toys, clothes and construction tools from Salvation Army warehouse… https://t.co/9i3bufnsuK",95,@CBSNews
0.0,2017-12-01 23:10:32+00:00,0.0,1.0,0.0,@CBSNews MORE: Three sources with knowledge of the situation tell CBS News Jared Kushner was the “very senior” offi… https://t.co/8coLzJ1Eb4,96,@CBSNews
-0.3818,2017-12-01 23:10:01+00:00,0.223,0.67,0.107,A former Oklahoma state senator accused of engaging in child prostitution and pornography pleads guilty to child se… https://t.co/kjKT2rReJM,97,@CBSNews
0.0,2017-12-01 23:05:19+00:00,0.0,1.0,0.0,NEW: Three sources with knowledge of the situation tell CBS News K.T. McFarland was the “senior official” on the Pr… https://t.co/rQ2ZkqMbmo,98,@CBSNews
0.128,2017-12-01 22:50:01+00:00,0.0,0.923,0.077,"In memo to staffers, NBC News chief says network's legal and human resources leaders investigating Matt Lauer's ""ap… https://t.co/8I1D7n5iB5",99,@CBSNews
0.7003,2017-12-01 22:39:34+00:00,0.0,0.688,0.312,"NEW: Rep. Susan Collins says, ""after securing significant changes,"" she will support the GOP tax reform bill… https://t.co/PL7kh85pfi",100,@CBSNews
0.34,2017-12-02 20:44:49+00:00,0.0,0.806,0.194,Awaiting remarks from National Security Adviser H.R. McMaster at #RNDF. https://t.co/v9ex4nFBL1,1,@FoxNews
0.4215,2017-12-02 20:44:09+00:00,0.0,0.899,0.101,"RT @FoxBusiness: DIUx's Raj Shah: ""If you look at all venture deals in the United States in 2015, 12% had an investor from China. That's up…",2,@FoxNews
-0.5267,2017-12-02 20:44:06+00:00,0.159,0.841,0.0,"RT @FoxBusiness: .@AmbJohnBolton on China's access to U.S. tech: ""We are in an increasingly threatening international environment, that the…",3,@FoxNews
0.3612,2017-12-02 20:39:45+00:00,0.0,0.737,0.263,Trump's USDA Relaxes Obama-Era School Lunch Restrictions    https://t.co/xmc5xGGqDe,4,@FoxNews
0.0,2017-12-02 20:34:03+00:00,0.0,1.0,0.0,"TOMORROW on @NextRevFNC, @SteveHiltonx talks to @DarrellIssa - Tune in at 9p ET on Fox News Channel! https://t.co/vf9Eo9futN",5,@FoxNews
-0.68,2017-12-02 20:32:02+00:00,0.301,0.699,0.0,Trump laments Flynn's lies to FBI about Russia contacts: 'There was nothing to hide!' https://t.co/60j65Qqx2R,6,@FoxNews
-0.34,2017-12-02 20:25:01+00:00,0.138,0.862,0.0,"Earlier today, President @realDonaldTrump tweeted about firing General Mike Flynn, and claimed his former National… https://t.co/BBnGgFX0rn",7,@FoxNews
0.7322,2017-12-02 20:23:06+00:00,0.074,0.635,0.291,".@SecAFOfficial: ""We are low on readiness... We need to restore the readiness of the Force so we can win any fight.… https://t.co/EJA9nzBwV5",8,@FoxNews
0.34,2017-12-02 20:17:30+00:00,0.0,0.882,0.118,TODAY at 4p ET - @BretBaier talks to National Security Adviser H.R. McMaster at @Reagan_Library - For full live cov… https://t.co/F2XG6AXGeW,9,@FoxNews
0.0,2017-12-02 20:15:15+00:00,0.0,1.0,0.0,"Trump takes victory lap after Senate passes tax bill, calls it 'largest tax decrease ... by far' https://t.co/uL6UIuFW5P",10,@FoxNews
-0.5574,2017-12-02 20:08:51+00:00,0.159,0.841,0.0,"Today on ""The Cost of Freedom,"" Florida @AGPamBondi reflected on what will happen next with the illegal immigrant w… https://t.co/T8kuvjqBgv",11,@FoxNews
-0.34,2017-12-02 20:01:29+00:00,0.138,0.862,0.0,"Earlier, President @realDonaldTrump tweeted about firing General Mike Flynn, and claimed his former National Securi… https://t.co/a8S40Y1XVx",12,@FoxNews
-0.5267,2017-12-02 19:56:33+00:00,0.18,0.82,0.0,RT @FoxBusiness: L3 Technologies Michael Strianese when asked 'Does Wall St. factor the risk of the current and future critical workforce s…,13,@FoxNews
0.0,2017-12-02 19:53:14+00:00,0.0,1.0,0.0,Satellite photos show North Korea apparently prepping to reuse launch site https://t.co/5mHAk9SvWN,14,@FoxNews
-0.0516,2017-12-02 19:46:14+00:00,0.07,0.93,0.0,"At a event with President @realDonaldTrump in New York City, @GOPChairwoman touted the @GOPs massive fundraising su… https://t.co/L6YO8ayVcj",15,@FoxNews
0.3612,2017-12-02 19:38:29+00:00,0.0,0.737,0.263,"Trump's USDA Relaxes Obama-Era School Lunch Restrictions
https://t.co/xmc5xGGqDe",16,@FoxNews
0.128,2017-12-02 19:38:27+00:00,0.0,0.923,0.077,RT @FoxBusiness: .@jpmorgan Exec. Dir. Michael Leskinen explains how defense companies have been impacted by Donald Trump’s victory during…,17,@FoxNews
0.0,2017-12-02 19:36:54+00:00,0.0,1.0,0.0,".@jasonrileywsj: ""@SenSchumer, the leader of @TheDemocrats in the Senate, has not come out asking @SenFranken to re… https://t.co/ZifCcDPOMK",18,@FoxNews
0.4019,2017-12-02 19:36:02+00:00,0.0,0.876,0.124,".@dbongino: ""Clearly it was a sanctuary city policy that allowed [Jose Inez Garcia Zarate] to stay in the country a… https://t.co/GdfBNU2vkx",19,@FoxNews
0.0,2017-12-02 19:35:36+00:00,0.0,1.0,0.0,".@KimStrassel: ""Democrats have been caught up in the very words that Ms. Pelosi used there: 'Zero tolerance.'""… https://t.co/9lv1VfHmen",20,@FoxNews
-0.296,2017-12-02 19:29:51+00:00,0.091,0.909,0.0,"RT @FoxBusiness: DIUx's Raj Shah: ""The nature of warfare is changing. It is being driven by technologies whose development is being led in…",21,@FoxNews
0.4404,2017-12-02 19:29:45+00:00,0.0,0.847,0.153,"Florida teen who reportedly ran off with soccer coach found safe in New York, police say https://t.co/avmHOEoHFV",22,@FoxNews
0.4215,2017-12-02 19:27:31+00:00,0.0,0.817,0.183,"RT @FoxBusiness: L3 Technologies Michael Strianese: ""The U.S. military has always had a substantial technology advantage. I think we have a…",23,@FoxNews
0.0,2017-12-02 19:27:28+00:00,0.0,1.0,0.0,"RT @FoxBusiness: .@secnav76 Richard Spencer: ""If you look at the job of the Secretary of the Navy: Man, equip, train, and deliver. The Titl…",24,@FoxNews
0.0772,2017-12-02 19:27:25+00:00,0.0,0.939,0.061,"RT @FoxBusiness: .@jpmorgan Exec. Dir. Michael Leskinen: ""For me to want to allocate my shareholders money to companies that are investing,…",25,@FoxNews
-0.2263,2017-12-02 19:26:44+00:00,0.15,0.751,0.098,Shock as Amazon delivery woman defecates on customer’s front yard while dropping off package https://t.co/OHCRXWB6Tn,26,@FoxNews
-0.3412,2017-12-02 19:24:10+00:00,0.179,0.821,0.0,".@jasonrileywsj: ""If you're the @WhiteHouse, this is not a good development."" #JournalEditorialReport https://t.co/MicOb0CfDm",27,@FoxNews
0.0,2017-12-02 19:20:20+00:00,0.0,1.0,0.0,"Democrat Sandy Levin retiring from House, won't seek 19th term in 2018 https://t.co/kAMeQbFplm",28,@FoxNews
0.128,2017-12-02 19:15:50+00:00,0.0,0.88,0.12,"McMaster, Pompeo among speakers at 5th annual Reagan National Defense Forum https://t.co/KEFF6fnADG",29,@FoxNews
0.2023,2017-12-02 19:10:57+00:00,0.0,0.87,0.13,Mueller dismisses top FBI agent in Russia probe over possible anti-Trump texts https://t.co/dq1YAyMQ05,30,@FoxNews
0.6249,2017-12-02 19:08:39+00:00,0.0,0.702,0.298,"On ""The @IngrahamAngle,"" @RepMattGaetz slammed the @FBI for allegedly giving @HillaryClinton special treatment.… https://t.co/6ALOJ0qSJr",31,@FoxNews
0.0,2017-12-02 19:05:02+00:00,0.0,1.0,0.0,"Last night, @SenWarren reacted negatively to the tax reform bill, which passed the Senate late last night.… https://t.co/yLDMHCqzNM",32,@FoxNews
0.0624,2017-12-02 19:04:29+00:00,0.135,0.716,0.149,".@RepMattGaetz: ""@HillaryClinton didn't deserve special treatment. She should've been treated like every American,… https://t.co/8yjvQBKo9F",33,@FoxNews
0.0,2017-12-02 18:49:56+00:00,0.0,1.0,0.0,Hawaii Tests Cold-War Era Sirens After North Korean Missile Test   https://t.co/n6DQqgmuKy,34,@FoxNews
-0.8442,2017-12-02 18:44:10+00:00,0.403,0.597,0.0,Father of Boy Killed By Illegal Immigrant: Steinle Jury Full of 'Left-Wing Nutjobs'  https://t.co/dleUx0jELD,35,@FoxNews
-0.34,2017-12-02 18:42:22+00:00,0.118,0.882,0.0,House Democratic Leader Nancy Pelosi has called on Nevada Democratic Rep. Ruben J. Kihuen to resign following alleg… https://t.co/3kjZCRfNw6,36,@FoxNews
0.0,2017-12-02 18:19:43+00:00,0.0,1.0,0.0,Discovery of DNA on clothes seeks to crack 1978 cold case https://t.co/z0qcKCSQax,37,@FoxNews
-0.34,2017-12-02 18:12:45+00:00,0.179,0.821,0.0,Pelosi calls on Nevada Democrat to resign over sexual misconduct claim https://t.co/Vhca0aj04b,38,@FoxNews
